place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-8,site,kanagawa_jiban_chinka__8,新城観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well8（data/processed/kanagawa_jiban_chinka.csv well_id=8; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-812,site,kanagawa_jiban_chinka__812,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row48_col11（data/processed/kanagawa_jiban_chinka.csv well_id=812; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-9,site,kanagawa_jiban_chinka__9,稲田観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well9（data/processed/kanagawa_jiban_chinka.csv well_id=9; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-967,site,kanagawa_jiban_chinka__967,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row9_col11（data/processed/kanagawa_jiban_chinka.csv well_id=967; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-974,site,kanagawa_jiban_chinka__974,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row14_col11（data/processed/kanagawa_jiban_chinka.csv well_id=974; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-978,site,kanagawa_jiban_chinka__978,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row13_col11（data/processed/kanagawa_jiban_chinka.csv well_id=978; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-982,site,kanagawa_jiban_chinka__982,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row15_col11（data/processed/kanagawa_jiban_chinka.csv well_id=982; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-M-17,site,kanagawa_jiban_chinka__M-17,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row41_col11（data/processed/kanagawa_jiban_chinka.csv well_id=M-17; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-M-22,site,kanagawa_jiban_chinka__M-22,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row26_col11（data/processed/kanagawa_jiban_chinka.csv well_id=M-22; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-T-14,site,kanagawa_jiban_chinka__T-14,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row12_col11（data/processed/kanagawa_jiban_chinka.csv well_id=T-14; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
